Rank,Score,Signal,Description,Category,Strength,AI_Reasoning
?,N/A,RSI OVERSOLD,RSI at 22.2,RSI,BULLISH,N/A
?,N/A,LARGE GAIN,+12.8% today,PRICE_ACTION,STRONG BULLISH,N/A
?,N/A,STRONG DOWNTREND,ADX: 43.2,TREND,TRENDING,N/A
?,N/A,VERY STRONG TREND,ADX: 43.2,TREND,EXTREME,N/A
?,N/A,OVEREXTENDED BELOW 20MA,17.2% below 20 MA,MA_DISTANCE,BULLISH,N/A
?,N/A,RSI MOMENTUM SURGE,RSI +12.2 in 5 days,RSI_MOMENTUM,BULLISH,N/A
?,N/A,GAP DOWN,Opened 2.8% lower,GAP,BEARISH,N/A
?,N/A,ABOVE R1 PIVOT,Broke resistance level,PIVOT,BULLISH,N/A
?,N/A,HIGH VOLATILITY,121.0% annualized,VOLATILITY,SIGNIFICANT,N/A
?,N/A,STOCHASTIC BULL CROSS,K crossed above D,STOCHASTIC,BULLISH,N/A
?,N/A,OBV CONFIRMATION,Volume confirming price downtrend,OBV,STRONG BEARISH,N/A
?,N/A,EXTREME ROC NEGATIVE,20-day ROC: -25.2%,ROC,STRONG BEARISH,N/A
?,N/A,STRONG BEAR TREND ADX,"-DI leading, ADX 43.2",ADX,STRONG BEARISH,N/A
?,N/A,OUTSIDE BAR,Volatility expansion,PRICE_PATTERN,SIGNIFICANT,N/A
?,N/A,BULLISH ENGULFING,Strong reversal pattern,CANDLESTICK,STRONG BULLISH,N/A
?,N/A,MULTI-INDICATOR BEARISH,4/5 indicators bearish,MULTI_INDICATOR,STRONG BEARISH,N/A
